,Unnamed: 0,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp,sdt-amk1048
215,15.0,1.0,10.0,15.0,left,fj542,0.0,2995.242,0.0,
216,16.0,0.0,0.0,16.0,left,fj542,0.0,8797.846,1.0,
217,17.0,0.0,0.0,17.0,left,fj542,0.0,4617.263999999999,1.0,
218,18.0,0.0,0.0,18.0,left,fj542,1.0,6976.495,0.0,
219,19.0,0.0,0.0,19.0,left,fj542,0.0,4229.5,1.0,
220,20.0,1.0,25.0,20.0,left,fj542,1.0,1881.584,1.0,
221,21.0,0.0,0.0,21.0,left,fj542,1.0,1455.77,0.0,
222,22.0,0.0,0.0,22.0,left,fj542,0.0,2596.1240000000003,1.0,
223,23.0,1.0,60.0,23.0,left,fj542,1.0,1705.371,1.0,
224,24.0,1.0,60.0,24.0,left,fj542,1.0,829.78,1.0,
225,25.0,0.0,0.0,25.0,left,fj542,0.0,1966.901,1.0,
226,26.0,1.0,60.0,26.0,left,fj542,1.0,1176.424,1.0,
227,27.0,1.0,10.0,27.0,left,fj542,0.0,4030.517,0.0,
228,28.0,1.0,60.0,28.0,left,fj542,1.0,1343.539,1.0,
229,29.0,0.0,0.0,29.0,left,fj542,0.0,2321.851,1.0,
230,30.0,1.0,15.0,30.0,left,fj542,0.0,1568.9489999999998,0.0,
231,31.0,1.0,25.0,31.0,left,fj542,1.0,1151.846,1.0,
232,32.0,0.0,0.0,32.0,left,fj542,1.0,4895.1320000000005,0.0,
233,33.0,0.0,0.0,33.0,left,fj542,1.0,4330.081,0.0,
234,34.0,0.0,0.0,34.0,left,fj542,0.0,2106.845,1.0,
235,35.0,1.0,60.0,35.0,left,fj542,1.0,1251.385,1.0,
236,36.0,1.0,25.0,36.0,left,fj542,1.0,1063.97,1.0,
237,37.0,1.0,25.0,37.0,left,fj542,1.0,726.557,1.0,
238,38.0,0.0,0.0,38.0,left,fj542,0.0,3863.209,1.0,
239,39.0,1.0,10.0,39.0,left,fj542,0.0,2736.478,0.0,
240,40.0,0.0,0.0,40.0,left,fj542,0.0,3734.174,1.0,
241,41.0,1.0,25.0,41.0,left,fj542,1.0,2167.52,1.0,
242,42.0,1.0,25.0,42.0,left,fj542,1.0,913.409,1.0,
243,43.0,1.0,60.0,43.0,left,fj542,1.0,810.5550000000001,1.0,
244,44.0,1.0,10.0,44.0,left,fj542,0.0,1973.124,0.0,
245,45.0,1.0,25.0,45.0,left,fj542,1.0,1802.459,1.0,
246,46.0,1.0,25.0,46.0,left,fj542,1.0,872.582,1.0,
247,47.0,0.0,0.0,47.0,left,fj542,0.0,1961.364,1.0,
248,48.0,0.0,0.0,48.0,left,fj542,0.0,1345.355,1.0,
249,49.0,0.0,0.0,49.0,left,fj542,0.0,8936.743,1.0,
250,50.0,1.0,10.0,50.0,left,fj542,0.0,1921.916,0.0,
251,51.0,1.0,25.0,51.0,left,fj542,1.0,2273.687,1.0,
252,52.0,0.0,0.0,52.0,left,fj542,0.0,2028.432,1.0,
253,53.0,0.0,0.0,53.0,left,fj542,0.0,3642.565,1.0,
254,54.0,1.0,25.0,54.0,left,fj542,1.0,1267.518,1.0,
255,55.0,0.0,0.0,55.0,left,fj542,0.0,2276.283,1.0,
256,56.0,0.0,0.0,56.0,left,fj542,1.0,2735.127,0.0,
257,57.0,0.0,0.0,57.0,left,fj542,0.0,1720.51,1.0,
258,58.0,0.0,0.0,58.0,left,fj542,1.0,1986.986,0.0,
259,59.0,1.0,25.0,59.0,left,fj542,1.0,1547.566,1.0,
260,60.0,1.0,10.0,60.0,left,fj542,0.0,803.572,0.0,
261,61.0,1.0,15.0,61.0,left,fj542,0.0,1387.762,0.0,
262,62.0,1.0,15.0,62.0,left,fj542,1.0,1777.371,1.0,
263,63.0,1.0,15.0,63.0,left,fj542,0.0,1917.987,0.0,
264,64.0,0.0,0.0,64.0,left,fj542,0.0,2481.347,1.0,
265,65.0,1.0,10.0,65.0,left,fj542,0.0,1116.7910000000002,0.0,
266,66.0,0.0,0.0,66.0,left,fj542,1.0,6856.733,0.0,
267,67.0,0.0,0.0,67.0,left,fj542,0.0,1584.0749999999998,1.0,
268,68.0,1.0,60.0,68.0,left,fj542,1.0,2259.893,1.0,
269,69.0,0.0,0.0,69.0,left,fj542,0.0,2470.9500000000003,1.0,
270,70.0,1.0,60.0,70.0,left,fj542,1.0,1179.798,1.0,
271,71.0,0.0,0.0,71.0,left,fj542,0.0,2534.139,1.0,
272,72.0,0.0,0.0,72.0,left,fj542,0.0,3552.6620000000003,1.0,
273,73.0,0.0,0.0,73.0,left,fj542,1.0,2164.775,0.0,
274,74.0,1.0,10.0,74.0,left,fj542,1.0,2682.528,1.0,
275,75.0,1.0,15.0,75.0,left,fj542,1.0,1900.243,1.0,
276,76.0,1.0,10.0,76.0,left,fj542,0.0,1480.079,0.0,
277,77.0,0.0,0.0,77.0,left,fj542,0.0,1542.241,1.0,
278,78.0,0.0,0.0,78.0,left,fj542,0.0,888.918,1.0,
279,79.0,1.0,25.0,79.0,left,fj542,1.0,1506.8760000000002,1.0,
280,80.0,0.0,0.0,80.0,left,fj542,1.0,2573.761,0.0,
281,81.0,1.0,60.0,81.0,left,fj542,1.0,1312.3339999999998,1.0,
282,82.0,0.0,0.0,82.0,left,fj542,0.0,1573.912,1.0,
283,83.0,0.0,0.0,83.0,left,fj542,0.0,998.023,1.0,
284,84.0,0.0,0.0,84.0,left,fj542,0.0,2732.3430000000003,1.0,
285,85.0,0.0,0.0,85.0,left,fj542,0.0,1992.823,1.0,
286,86.0,1.0,15.0,86.0,left,fj542,1.0,1386.255,1.0,
287,87.0,1.0,25.0,87.0,left,fj542,0.0,2468.162,0.0,
288,88.0,1.0,10.0,88.0,left,fj542,0.0,24.784,0.0,
289,89.0,1.0,60.0,89.0,left,fj542,1.0,1309.774,1.0,
290,90.0,0.0,0.0,90.0,left,fj542,0.0,1272.3,1.0,
291,91.0,0.0,0.0,91.0,left,fj542,1.0,3214.301,0.0,
292,92.0,0.0,0.0,92.0,left,fj542,0.0,5048.049,1.0,
293,93.0,1.0,25.0,93.0,left,fj542,1.0,1600.579,1.0,
294,94.0,1.0,60.0,94.0,left,fj542,1.0,1539.66,1.0,
295,95.0,1.0,10.0,95.0,left,fj542,0.0,1799.971,0.0,
296,96.0,0.0,0.0,96.0,left,fj542,0.0,1531.855,1.0,
297,97.0,0.0,0.0,97.0,left,fj542,0.0,5511.812,1.0,
298,98.0,0.0,0.0,98.0,left,fj542,0.0,3378.4550000000004,1.0,
299,99.0,0.0,0.0,99.0,left,fj542,0.0,1504.2,1.0,
300,100.0,0.0,0.0,100.0,left,fj542,0.0,2746.067,1.0,
301,101.0,0.0,0.0,101.0,left,fj542,0.0,3683.027,1.0,
302,102.0,1.0,25.0,102.0,left,fj542,1.0,2116.42,1.0,
303,103.0,0.0,0.0,103.0,left,fj542,0.0,1503.752,1.0,
304,104.0,1.0,10.0,104.0,left,fj542,0.0,5124.376,0.0,
305,105.0,1.0,15.0,105.0,left,fj542,1.0,1480.102,1.0,
306,106.0,1.0,15.0,106.0,left,fj542,0.0,1437.751,0.0,
307,107.0,0.0,0.0,107.0,left,fj542,0.0,1887.41,1.0,
308,108.0,1.0,15.0,108.0,left,fj542,1.0,1740.985,1.0,
309,109.0,0.0,0.0,109.0,left,fj542,1.0,1894.983,0.0,
310,110.0,0.0,0.0,110.0,left,fj542,0.0,1124.308,1.0,
311,111.0,1.0,10.0,111.0,left,fj542,0.0,1064.0890000000002,0.0,
312,112.0,0.0,0.0,112.0,left,fj542,0.0,1727.967,1.0,
313,113.0,0.0,0.0,113.0,left,fj542,0.0,1254.85,1.0,
314,114.0,0.0,0.0,114.0,left,fj542,0.0,1959.774,1.0,
315,115.0,0.0,0.0,115.0,left,fj542,0.0,872.633,1.0,
316,116.0,0.0,0.0,116.0,left,fj542,0.0,1253.609,1.0,
317,117.0,1.0,25.0,117.0,left,fj542,1.0,1303.352,1.0,
318,118.0,0.0,0.0,118.0,left,fj542,0.0,1670.177,1.0,
319,119.0,1.0,60.0,119.0,left,fj542,1.0,1481.684,1.0,
320,120.0,0.0,0.0,120.0,left,fj542,0.0,1946.137,1.0,
321,121.0,0.0,0.0,121.0,left,fj542,0.0,1509.268,1.0,
322,122.0,1.0,25.0,122.0,left,fj542,0.0,1617.574,0.0,
323,123.0,0.0,0.0,123.0,left,fj542,0.0,1461.204,1.0,
324,124.0,1.0,60.0,124.0,left,fj542,1.0,1703.437,1.0,
325,125.0,0.0,0.0,125.0,left,fj542,0.0,5781.248,1.0,
326,126.0,1.0,10.0,126.0,left,fj542,0.0,926.726,0.0,
327,127.0,1.0,15.0,127.0,left,fj542,0.0,950.036,0.0,
328,128.0,0.0,0.0,128.0,left,fj542,0.0,1397.25,1.0,
329,129.0,0.0,0.0,129.0,left,fj542,0.0,1247.88,1.0,
330,130.0,0.0,0.0,130.0,left,fj542,0.0,1295.583,1.0,
331,131.0,1.0,25.0,131.0,left,fj542,1.0,2055.8900000000003,1.0,
332,132.0,1.0,60.0,132.0,left,fj542,1.0,1149.14,1.0,
333,133.0,1.0,25.0,133.0,left,fj542,1.0,894.6560000000001,1.0,
334,134.0,0.0,0.0,134.0,left,fj542,0.0,1902.327,1.0,
335,135.0,1.0,60.0,135.0,left,fj542,0.0,1168.315,0.0,
336,136.0,0.0,0.0,136.0,left,fj542,0.0,1136.534,1.0,
337,137.0,1.0,10.0,137.0,left,fj542,0.0,1393.565,0.0,
338,138.0,0.0,0.0,138.0,left,fj542,0.0,2794.437,1.0,
339,139.0,1.0,15.0,139.0,left,fj542,0.0,1046.643,0.0,
340,140.0,0.0,0.0,140.0,left,fj542,0.0,1910.503,1.0,
341,141.0,0.0,0.0,141.0,left,fj542,0.0,3233.17,1.0,
342,142.0,0.0,0.0,142.0,left,fj542,0.0,1112.895,1.0,
343,143.0,0.0,0.0,143.0,left,fj542,0.0,1073.175,1.0,
344,144.0,0.0,0.0,144.0,left,fj542,0.0,1195.165,1.0,
345,145.0,0.0,0.0,145.0,left,fj542,1.0,5601.662,0.0,
346,146.0,0.0,0.0,146.0,left,fj542,1.0,2975.261,0.0,
347,147.0,0.0,0.0,147.0,left,fj542,0.0,980.455,1.0,
348,148.0,1.0,10.0,148.0,left,fj542,1.0,2932.168,1.0,
349,149.0,1.0,15.0,149.0,left,fj542,1.0,4785.518,1.0,
350,150.0,1.0,25.0,150.0,left,fj542,1.0,1080.944,1.0,
351,151.0,1.0,10.0,151.0,left,fj542,0.0,1849.035,0.0,
352,152.0,1.0,60.0,152.0,left,fj542,1.0,1035.862,1.0,
353,153.0,1.0,10.0,153.0,left,fj542,0.0,1616.832,0.0,
354,154.0,1.0,15.0,154.0,left,fj542,1.0,1659.189,1.0,
355,155.0,0.0,0.0,155.0,left,fj542,0.0,1001.583,1.0,
356,156.0,0.0,0.0,156.0,left,fj542,0.0,1062.796,1.0,
