,zip,borough,neighborhood,deathper100k,whitepct,medianincome,asthmapct,popdens,medianage,housesize
134,11363,Queens,Douglaston-Little Neck,103.93,59.32,104792,9.5,8082.96,48,2.61
135,11364,Queens,Bayside (South)/Oakland Gardens,117.69,39.96,76988,9.0,14915.28,45,2.71
136,11365,Queens,Auburndale/Fresh Meadows/Pomonok/Utopia,196.28,33.42,66483,9.5,18006.86,41,2.88
137,11366,Queens,Fresh Meadows/Hillcrest,197.07,42.97,78990,9.5,13390.53,41,3.12
138,11367,Queens,Kew Gardens Hills/Pomonok,184.38,55.97,57933,10.5,17755.4,36,2.8
139,11368,Queens,Corona/North Corona,415.87,37.66,50797,9.9,42746.06,32,3.92
140,11369,Queens,Airport/East Elmhurst,582.85,28.82,54121,10.4,31291.42,38,3.22
141,11370,Queens,Jackson Heights/Rikers Island,223.43,42.15,65098,9.7,21816.97,38,3.17
142,11372,Queens,Jackson Heights,474.6,57.31,56383,9.4,83481.14,41,2.58
143,11373,Queens,Elmhurst,326.22,21.67,51183,8.7,61733.68,38,3.09
144,11374,Queens,Rego Park,270.57,52.71,63161,9.7,45228.06,44,2.19
145,11375,Queens,Forest Hills,304.49,60.76,80542,9.8,36952.58,43,2.22
146,11377,Queens,Woodside,276.03,48.89,57010,9.1,34068.92,40,2.74
147,11378,Queens,Maspeth,207.49,71.99,73333,10.8,14466.8,38,2.94
148,11379,Queens,Middle Village,352.11,78.09,82819,11.2,18243.27,43,2.78
149,11385,Queens,Glendale/Ridgewood,146.7,81.67,72261,10.7,29543.39,35,3.03
150,11411,Queens,Cambria Heights,233.88,3.37,93882,13.8,17772.8,44,3.31
151,11412,Queens,St. Albans,251.98,1.76,78517,14.1,22748.0,41,3.39
152,11413,Queens,Laurelton/Rosedale,254.59,2.33,86324,13.9,13672.73,40,3.41
153,11414,Queens,Hamilton Beach/Howard Beach/Lindenwood,282.1,77.9,71648,11.2,12637.68,45,2.73
154,11415,Queens,Kew Gardens,333.81,58.93,68294,10.7,34202.16,39,2.31
155,11416,Queens,Ozone Park,287.99,27.43,67461,10.4,40992.22,36,3.75
156,11417,Queens,Ozone Park,190.07,35.79,73424,10.8,28529.48,38,3.52
157,11418,Queens,Richmond Hill,263.4,40.61,66570,10.4,23581.86,35,3.48
158,11419,Queens,Richmond Hill/South Ozone Park,255.64,10.06,70882,11.5,44324.62,37,3.97
159,11420,Queens,South Ozone Park,234.14,15.26,67932,12.3,23340.94,39,3.68
160,11421,Queens,Woodhaven,282.15,44.2,72066,10.1,31786.98,38,3.52
161,11422,Queens,Rosedale,228.47,5.48,89235,13.6,16010.84,38,3.32
162,11423,Queens,Hollis/Holliswood,382.16,12.96,70266,12.2,22233.85,41,3.16
163,11426,Queens,Bellerose,198.38,38.86,88803,9.8,15419.49,39,3.26
164,11427,Queens,Bellerose/Hollis Hills/Holliswood,190.9,29.32,74581,10.7,15202.07,42,3.08
165,11428,Queens,Queens Village,344.44,22.69,73699,11.1,22762.28,41,3.4
166,11429,Queens,Queens Village,254.91,3.52,83240,13.4,21179.8,39,3.72
167,11432,Queens,Hillcrest/Jamaica Estates/Jamaica Hills,441.12,19.11,55906,10.3,28870.16,36,3.1
168,11433,Queens,Jamaica,290.24,3.92,51521,13.5,23513.6,35,3.46
169,11434,Queens,Airport/South Jamaica/Springfield Gardens/St. Albans,322.03,2.93,62207,14.1,20141.42,38,2.96
170,11435,Queens,Briarwood/Jamaica,287.6,16.93,64086,11.0,38782.86,36,3.08
171,11436,Queens,South Jamaica/South Ozone Park,254.46,5.64,75242,13.6,25310.89,37,3.55
172,11691,Queens,Edgemere/Far Rockaway,587.83,38.93,46147,12.5,24372.8,31,3.12
173,11692,Queens,Arverne/Edgemere,456.51,22.6,44024,13.2,20942.37,34,2.95
174,11693,Queens,Arverne/Broad Channel,244.63,63.27,59431,11.9,13099.96,40,2.61
175,11694,Queens,Belle Harbor-Neponsit/Rockaway Park,433.12,81.31,80976,11.2,15978.78,49,2.35
176,11697,Queens,Breezy Point,206.33,95.42,103580,11.2,1363.9,49,2.59
