trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,x_pos,y_pos,stim_file,corr_ans,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,0.167999983,1,0,200,182,1,199,0.144980775,0.088772602,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.437999964,1,0,200,138,1,199,0.148973481,0.081895677,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.392999887,1,0,200,15,1,199,0.019204847,-0.168911734,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.385999918,1,0,200,105,1,199,0.108379171,0.130973109,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.455000162,1,0,200,71,1,199,0.004140808,-0.169949562,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.358999968,1,0,200,152,1,199,-0.102041905,0.135968561,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.377000093,1,0,200,137,1,199,0.169681727,0.010397666,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.157999992,1,0,200,66,1,199,-0.147569611,-0.084399111,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.411999941,1,0,200,123,1,199,0.16876012,-0.020494434,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,1.240999937,1,0,200,4,1,199,-0.019229127,-0.168908972,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.394999981,1,0,200,186,1,199,0.09616063,0.140189633,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.43599987,1,0,200,180,1,199,-0.044067836,-0.164188994,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.424999952,1,0,200,21,1,199,0.165504132,-0.038837898,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.235000134,1,0,200,142,1,199,0.10278015,-0.135411376,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.319000006,1,0,200,58,1,199,-0.098617,-0.138472695,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.380000114,1,0,200,143,1,199,0.073397205,-0.153339005,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.252000093,1,0,200,177,1,199,0.028611187,0.167575058,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.305000067,1,0,200,97,1,199,-0.051684599,-0.161952778,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.338999987,1,0,200,61,1,199,0.143131871,-0.091723866,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.202000141,1,0,200,43,1,199,0.166686234,-0.033402089,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.262000084,1,0,200,135,1,199,-0.158676757,-0.061005628,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.338000059,1,0,200,112,1,199,-0.167758362,0.027516034,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.437000036,1,0,200,82,1,199,-0.085376578,0.147006258,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.072999954,1,0,200,116,1,199,-0.149107306,-0.081651769,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.28399992,1,0,200,59,1,199,-0.002705399,0.169978472,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,1.472999811,1,0,200,104,1,199,0.140998832,0.09497015,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.619999886,1,0,200,126,1,199,-0.041580725,-0.164836414,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.531000137,1,0,200,157,1,199,-0.015775575,-0.16926645,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.638000011,1,0,200,93,1,199,-0.125027238,-0.115187628,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
